Total Population,Male,Female,Total HH,HH Farm,HH Non-Farm,Cultivable Area,Drip/Sprinkler Farmers,Irrigated Area,Unirrigated Area,Kuccha HH,PMAY HH,Waitlisted HH,Benefitted HH,Waitlisted Specific HH,Saubhagya HH,Vocational Training,Total Farmers,Soil Testing Farmers,Labour Budget,Piped Water HH,Color
-0.085914397,-0.081243148,-0.089911288,-0.1040259,0.252982542,0.223203142,0.866128824,-0.180290617,-0.10898568,1.062216234,-0.256562947,0.327974619,1.793437425,-0.492956659,-0.475397182,-0.143551008,0.373333439,-0.008789843,-0.457536713,-0.315874179,-0.912131993,red
-0.222440509,-0.181079281,-0.259856854,-0.295401595,0.333981574,-0.078851863,0.797730737,-0.084025574,-0.126250684,0.960623523,-0.256562947,0.012252007,1.046601317,-0.322594111,-0.475397182,-0.143551008,0.077678877,0.08187944,-0.46879546,-0.399390611,-0.894067325,red
-0.118899903,-0.076884398,-0.157201321,-0.123952219,-0.247650033,0.119991297,-0.618460413,-0.188312704,0.227681893,-0.925953121,-0.256562947,-0.010299608,-0.459518169,-0.249581591,-0.389302097,11.89744242,-0.137342622,1.185543474,-0.446277965,-0.32522292,-0.375611361,red
-0.566147488,-0.520646669,-0.606438755,-0.577275992,-0.567742596,-0.289940495,-0.756133484,-0.212378965,-0.048558167,-0.9401761,-0.256562947,-0.055402839,-0.459518169,-0.359100372,-0.406521114,8.551858873,-0.191097997,0.753040571,-0.451907339,-0.384465133,-0.535784748,red
-0.196131828,-0.151813388,-0.236343575,-0.134745643,-0.603850598,-0.308017146,-0.960450845,-0.220401052,-0.261493213,-0.909698287,-0.256562947,-0.19071253,-0.459518169,-0.529462919,-0.440959148,-0.12283532,-0.309359822,0.216841189,-0.451907339,0.364212164,0.51618107,red
-0.232704881,-0.191457258,-0.269988592,-0.175428545,-0.474056968,-0.308600264,-0.621968007,-0.196334791,0.509676955,-0.77864369,-0.256562947,-0.168160915,-0.459518169,-0.480787906,-0.423740131,-0.112477476,-0.314735359,0.147536507,-0.454722026,1.240115284,0.506546581,red
-0.179090977,-0.124830649,-0.228505816,-0.098214057,1.419173433,-0.418226405,0.210208712,-0.132158096,2.037629787,-0.343826886,-0.238047018,-0.1456093,-0.223020068,-0.711994221,-0.466787674,0.514172074,-0.158844772,0.220488804,0.012515998,-0.25197103,-0.573118395,red
-0.528179277,-0.495531966,-0.55673589,-0.472662814,1.01417827,-0.702204759,-0.960450845,-0.188312704,-0.333430729,-0.86296564,-0.256562947,-0.1456093,-0.397281826,-0.724162974,-0.466787674,0.281120588,-0.07821171,-0.09372716,-0.198585519,-0.286910239,-0.720646515,red
1.496094382,1.595215159,1.400792334,1.676473789,-0.074917156,0.648879114,0.047982481,0.325100863,1.962814771,-0.790834815,-0.133123416,-0.23581576,-0.359940021,-0.14006281,-0.079359792,-0.14872993,-0.309359822,-0.210450835,0.043477554,-0.235663899,1.385693744,green
-0.312129196,-0.308105712,-0.314912335,-0.285853567,-0.576525623,-0.418226405,-0.902575541,-0.236445226,-0.137760686,-0.904618651,-0.256562947,-0.23581576,-0.459518169,-0.480787906,0.127268412,-0.128014242,-0.277106597,0.265302358,-0.401242975,-0.001458499,0.360824928,red
